Ia,Ib,Ic,Va,Vb,Vc,Output (S)
58.62826496,-793.0523183,734.4217899,-0.036160809,-0.00102571,0.037186519,1
-70.3388903,52.26790418,14.7226352,0.007289438,-0.51433438,0.507044941,0
18.90634584,72.33302325,-94.47013033,-0.489274387,0.585559989,-0.096285602,0
-870.1442598,-45.64596332,-8.341054129,0.00847751,0.282839352,-0.291316863,1
57.16911602,-7.124133161,-47.78421677,0.056307548,0.498951069,-0.555258617,0
-71.88963897,59.337273,9.080821921,-0.050354047,-0.484385907,0.534739954,0
-27.56868972,-498.1492931,527.9809089,-0.472720424,-0.030218677,0.502939101,1
-42.05243554,98.84062776,-60.16270639,-0.586715745,0.135252968,0.451462777,0
-631.6099575,-217.7510643,851.4522248,-0.040289317,0.031530614,0.008758703,1
10.12836489,-28.3169923,14.9982853,0.590386016,-0.238880572,-0.351505444,0
36.85335676,48.50555825,-83.42994399,-0.361764858,0.619654524,-0.257889666,0
-713.6801985,-70.31350903,27.61830805,0.268125737,-0.160634581,-0.107491156,1
-10.20718548,-40.26768216,63.79047658,0.569003361,-0.39733049,-0.171672871,0
375.200867,-890.840471,517.7965299,-0.024985083,-0.016629824,0.041614907,1
-70.0430802,73.65360817,-6.602495762,-0.25979131,-0.336941607,0.596732918,0
63.41650685,-31.76534243,-31.65116442,0.129875847,0.44766437,-0.577540217,0
-17.86279419,94.35152685,-79.87168595,-0.618514892,0.362222744,0.256292148,0
875.5678584,55.66998911,-1.815094325,-0.085893467,-0.168298787,0.254192254,1
-49.38712618,10.61601993,40.66346269,0.331376884,-0.588069528,0.256692644,0
-43.27189581,62.70568623,-23.09461124,-0.5442447,0.03882153,0.505423171,0
368.3544539,-21.22560015,46.03395561,0.318548269,-0.603987259,0.28543899,1
-44.13694464,62.55258772,-22.15935897,-0.540002948,0.029318971,0.510683977,0
-63.32619916,34.86226329,24.9961664,0.183867769,-0.573473365,0.389605596,0
-591.8704788,226.3122396,367.7443701,0.104304309,-0.00245383,-0.101850478,1
-69.3750377,59.93123319,11.34546006,-0.131757845,-0.437871869,0.569629714,0
-32.23896697,-4.400364288,33.31023171,0.488428694,-0.523801016,0.035372322,0
40.4725327,-49.65303254,12.02159467,0.496911584,0.04159911,-0.538510694,0
42.90526095,-56.03161956,22.99980762,0.549818254,-0.054442281,-0.495375974,0
36.68611611,-29.14175063,-10.60526141,0.497380978,0.0467721,-0.544153078,0
-60.58349322,52.67587528,4.256632989,-0.378142338,-0.222329903,0.600472241,0
53.75548239,-2.20588149,-47.74284058,-0.07448743,0.559065361,-0.484577931,0
-373.348161,-507.0712428,880.4171526,-0.04233655,0.019504518,0.022832032,1
-5.908391047,84.17030417,-76.34168718,-0.603183978,0.424639809,0.178544169,0
272.0747038,-868.8975511,-49.20532632,-0.029507869,0.131400256,-0.101892387,1
-62.45847353,91.57003598,-32.47668685,-0.440958291,-0.138241383,0.579199674,0
49.01753635,-13.96486349,-32.44306961,0.471943623,0.042310284,-0.514253907,1
48.48545854,-670.562167,624.6513128,0.099529365,0.024037226,-0.123566592,1
5.860014667,81.57401141,-90.82478558,-0.55949524,0.522631326,0.036863914,0
45.88436925,59.56947067,-102.8392929,0.485867841,0.041910336,-0.527778176,1
37.76276542,-44.75747985,9.853461219,0.515674212,0.009161811,-0.524836023,0
-56.82204253,23.94590563,29.41075343,0.279350984,-0.584287261,0.304936277,0
-61.57646375,73.13186772,-9.242111375,-0.406882023,-0.186106038,0.59298806,0
-59.57461358,-40.05868934,102.0653743,-0.490928499,-0.042104757,0.533033256,1
-141.1634024,825.6092674,-684.4476393,0.033877333,0.005085718,-0.03896305,1
-45.034197,7.030437882,34.79558429,0.396012585,-0.571573353,0.175560768,0
-38.63155473,73.55148376,-32.04439052,-0.584022847,0.136186258,0.447836589,0
-158.642507,37.3532588,-49.39647334,-0.361305547,0.597027285,-0.235721738,1
680.0691612,150.2161682,-828.1525198,0.039145535,-0.033636933,-0.005508602,1
-71.33121585,61.39433116,6.949226842,-0.123798458,-0.441686049,0.565484507,0
-380.7135649,-516.3174483,899.1999955,-0.040945999,0.019293298,0.021652701,1
-50.10125735,97.77487575,-51.04489191,-0.548596846,0.040741164,0.507855682,0
-69.07259151,47.25972214,18.94174695,0.009303285,-0.517295956,0.507992671,0
26.67730655,63.23743146,-93.31299138,-0.43086887,0.610455614,-0.179586744,0
0.043554138,-27.39741905,24.39648781,0.590961227,-0.330677355,-0.260283872,0
37.6029557,36.62239694,-71.97434251,-0.350321392,0.613281012,-0.262959621,0
-65.84658047,60.44335893,8.22720704,-0.352021051,-0.254045202,0.606066253,0
1.059003631,-24.35527735,19.9780343,0.590856854,-0.312708484,-0.27814837,0
-378.928479,880.3950553,-501.4685134,0.025441487,0.016620475,-0.042061962,1
-60.86255459,72.93342558,-9.84460196,-0.413696556,-0.177428181,0.591124737,0
8.052118514,64.93514837,-70.74360002,-0.557007282,0.505318862,0.05168842,0
-65.43012004,43.70187141,17.96143401,-0.265627429,-0.339932498,0.605559927,0
58.23239705,-7.347188504,-50.88520855,-0.115861688,0.573020649,-0.457158961,0
634.5204858,70.76666686,-33.20398553,-0.303931861,0.241351674,0.062580188,1
30.38170917,-29.42484404,-4.140163124,0.533785198,-0.028548957,-0.505236241,0
43.26116203,13.45604315,-60.41192298,-0.303468743,0.605916156,-0.302447413,0
39.72838231,44.66373648,-82.4623971,-0.330039131,0.622003054,-0.291963923,0
740.2450041,-788.194077,47.9468105,-0.004051639,-0.034457822,0.038509461,1
464.3613856,-883.4270471,419.0634005,-0.021620793,-0.020714116,0.042334909,1
-365.6359985,879.9494205,-512.1975568,0.025977552,0.015991008,-0.04196856,1
15.71871319,-777.9468832,764.7777985,-0.238858183,-0.004784425,0.243642607,1
695.4770902,98.58599145,44.59388486,0.038358773,-0.376436782,0.338078009,1
2.988939411,-766.9432829,-56.15816695,-0.037454524,0.234011884,-0.19655736,1
-66.25126231,143.5908058,-74.89912352,-0.446530019,-0.042203365,0.488733383,1
29.50494593,30.21494968,-63.40824079,-0.437969941,0.582074302,-0.144104361,0
22.64293353,43.46802509,-63.38754206,-0.467717355,0.573505977,-0.105788622,0
110.4967477,-831.3448113,-54.28504202,-0.033942445,0.19948432,-0.165541875,1
-66.6376935,73.81457058,-5.343593917,-0.30062973,-0.300388309,0.601018039,0
416.012963,66.74877929,-43.10190956,-0.360945593,0.401282576,-0.040336983,1
-23.07470259,-543.3122311,568.7517258,-0.456770312,-0.027798276,0.484568588,1
-32.25675981,-24.82710443,23.14256961,0.382477581,-0.539347309,0.156869728,0
451.7826158,28.99131899,6.228132693,0.267193347,-0.550958162,0.283764815,1
27.8917551,38.59303184,-63.30719646,-0.429025936,0.590346664,-0.161320727,0
-605.9814527,-10.44675634,-37.67555094,-0.206844384,0.535124153,-0.328279769,1
37.08227428,27.14946538,-61.50359832,-0.340093571,0.607922606,-0.267829035,0
14.86228369,-61.818,43.21607452,0.602657681,-0.258689754,-0.343967926,0
41.89910755,15.39640009,-60.98951713,-0.319814005,0.605641587,-0.285827582,0
0.661575877,82.83054279,-86.63015867,-0.580892736,0.486846471,0.094046265,0
738.1285269,53.62861868,-789.6229007,0.037136473,-0.036267339,-0.000869134,1
-3.000968591,-47.19975147,52.86330281,0.593525135,-0.376373557,-0.217151577,0
-70.56586976,38.31346051,35.05717096,-0.097982271,-0.469160353,0.567142625,0
-41.71636855,-333.765344,377.7276691,-0.504371134,-0.036645381,0.541016515,1
-49.9610833,-754.4486491,804.468246,-0.037741911,0.00378788,0.03395403,1
-59.55827024,90.7004772,-34.25950726,-0.466079024,-0.102755058,0.568834082,0
-245.8201981,862.2243869,50.13121506,0.030447332,-0.14241461,0.111967278,1
40.51941148,42.15271102,-85.59081742,-0.29796492,0.623716146,-0.325751226,0
-75.31721453,-740.556275,-57.25695976,-0.036727944,0.263370787,-0.226642843,1
-16.28520814,774.0798586,-755.7534826,0.037114489,-0.000896342,-0.036218146,1
21.43875527,-774.29946,755.3280775,-0.196176797,0.000275934,0.195900863,1
361.0498092,517.5179261,-878.5688766,0.04227228,-0.018843148,-0.023429132,1
62.11181524,-42.2409925,-19.87082275,0.247096786,0.355466886,-0.602563672,0
-38.42776419,-22.32987862,63.42971009,0.444442803,-0.57341207,0.128969267,0
30.70024826,-30.68465774,-3.07884067,0.534291784,-0.029293945,-0.504997838,0
-44.64655743,-302.6806713,349.7634695,-0.506988461,-0.037828951,0.544817413,1
-768.3370874,761.8136663,8.551683496,0.001349143,0.036005967,-0.037355111,1
-772.0721571,15.89302551,758.1947638,-0.035399105,0.03788526,-0.002486156,1
768.614313,-40.10368516,38.30187189,0.035004206,-0.370200178,0.335195973,1
596.5528708,0.681894808,37.80603504,0.237386543,-0.559496021,0.322109477,1
-487.1043244,377.3259561,29.57328173,-0.132447353,0.203226167,-0.070778814,1
41.64487712,144.6942815,-183.7206844,0.496616619,0.040974172,-0.537590791,1
